FIELDNAME,INTTYPE,LENG,DECIMALS,DOMNAME,ROLLNAME,FIELDTEXT
LALF15,C,000120,000000,CHAR120,CHAR120,char120
LALF16,C,000120,000000,CHAR120,CHAR120,char120
LALF17,C,000120,000000,CHAR120,CHAR120,char120
LALF18,C,000120,000000,CHAR120,CHAR120,char120
LALF19,C,000120,000000,CHAR120,CHAR120,char120
LALF20,C,000120,000000,CHAR120,CHAR120,char120
LALF21,C,000120,000000,CHAR120,CHAR120,char120
LALF22,C,000120,000000,CHAR120,CHAR120,char120
LALF23,C,000120,000000,CHAR120,CHAR120,char120
LALF24,C,000120,000000,CHAR120,CHAR120,char120
LALF25,C,000120,000000,CHAR120,CHAR120,char120
LALF26,C,000120,000000,CHAR120,CHAR120,char120
LALG01,C,000120,000000,CHAR120,CHAR120,char120
LALG02,C,000120,000000,CHAR120,CHAR120,char120
LALG03,C,000120,000000,CHAR120,CHAR120,char120
LALG04,C,000120,000000,CHAR120,CHAR120,char120
LALG05,C,000120,000000,CHAR120,CHAR120,char120
LALG06,C,000120,000000,CHAR120,CHAR120,char120
LALG07,C,000120,000000,CHAR120,CHAR120,char120
LALG08,C,000120,000000,CHAR120,CHAR120,char120
LALG09,C,000120,000000,CHAR120,CHAR120,char120
LALG10,C,000120,000000,CHAR120,CHAR120,char120
LALG11,C,000120,000000,CHAR120,CHAR120,char120
LALG12,C,000120,000000,CHAR120,CHAR120,char120
LALG13,C,000120,000000,CHAR120,CHAR120,char120
LALG14,C,000120,000000,CHAR120,CHAR120,char120
LALG15,C,000120,000000,CHAR120,CHAR120,char120
LALG16,C,000120,000000,CHAR120,CHAR120,char120
LALG17,C,000120,000000,CHAR120,CHAR120,char120
LALG18,C,000120,000000,CHAR120,CHAR120,char120
LALG19,C,000120,000000,CHAR120,CHAR120,char120
LALG20,C,000120,000000,CHAR120,CHAR120,char120
LALG21,C,000120,000000,CHAR120,CHAR120,char120
LALG22,C,000120,000000,CHAR120,CHAR120,char120
LALG23,C,000120,000000,CHAR120,CHAR120,char120
LALG24,C,000120,000000,CHAR120,CHAR120,char120
LALG25,C,000120,000000,CHAR120,CHAR120,char120
LALG26,C,000120,000000,CHAR120,CHAR120,char120
LALH01,C,000120,000000,CHAR120,CHAR120,char120
LALH02,C,000120,000000,CHAR120,CHAR120,char120
LALH03,C,000120,000000,CHAR120,CHAR120,char120
LALH04,C,000120,000000,CHAR120,CHAR120,char120
LALH05,C,000120,000000,CHAR120,CHAR120,char120
LALH06,C,000120,000000,CHAR120,CHAR120,char120
LALH07,C,000120,000000,CHAR120,CHAR120,char120
LALH08,C,000120,000000,CHAR120,CHAR120,char120
LALH09,C,000120,000000,CHAR120,CHAR120,char120
LALH10,C,000120,000000,CHAR120,CHAR120,char120
LALH11,C,000120,000000,CHAR120,CHAR120,char120
LALH12,C,000120,000000,CHAR120,CHAR120,char120
LALH13,C,000120,000000,CHAR120,CHAR120,char120
LALH14,C,000120,000000,CHAR120,CHAR120,char120
LALH15,C,000120,000000,CHAR120,CHAR120,char120
LALH16,C,000120,000000,CHAR120,CHAR120,char120
LALH17,C,000120,000000,CHAR120,CHAR120,char120
