TREE_ID,NODE_ID,CK_EXIT_FUNC,MP_CONST,PARENT_ID,_tree_id,NODE_TYPE,TREE_TYPE,MP_SC_FLD,TECH_NAME,MP_SC_TAB,MP_EXIT_FUNC
/SEPA_CT_UNES                 ,N_3212123950,,                                                                                                                                    ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,ReqdExctnDt                                       ,                              ,                              
/SEPA_CT_UNES                 ,N_3311263550,,                                                                                                                                    ,N_6389156500,/SEPA_CT_UNES,ATOM,PAYM,XMLNS                         ,Para                                              ,FPM_SEPA                      ,                              
/SEPA_CT_UNES                 ,N_3751282570,,T                                                                                                                                   ,N_0179888070,/SEPA_CT_UNES,ATOM,PAYM,                              ,T                                                 ,                              ,                              
/SEPA_CT_UNES                 ,N_3895768940,,SLEV                                                                                                                                ,N_1489713350,/SEPA_CT_UNES,ELEM,PAYM,                              ,ChrgBr                                            ,                              ,                              
/SEPA_CT_UNES                 ,N_3904828830,,                                                                                                                                    ,N_7631742550,/SEPA_CT_UNES,ELEM,PAYM,                              ,FinInstnId                                        ,                              ,                              
/SEPA_CT_UNES                 ,N_3963698540,,                                                                                                                                    ,N_1781756050,/SEPA_CT_UNES,ELEM,PAYM,NAME1                         ,Nm                                                ,FPAYP                         ,                              
/SEPA_CT_UNES                 ,N_4457909410,,                                                                                                                                    ,N_9961450310,/SEPA_CT_UNES,ELEM,PAYM,                              ,InitgPty                                          ,                              ,                              
/SEPA_CT_UNES                 ,N_4604210940,,                                                                                                                                    ,N_6289915400,/SEPA_CT_UNES,ATOM,PAYM,DOC1R                         ,DOC1R(1)                                          ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_4754354180,,                                                                                                                                    ,N_4788773110,/SEPA_CT_UNES,ELEM,PAYM,                              ,PstlAdr                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_4788773110,,                                                                                                                                    ,N_9145273120,/SEPA_CT_UNES,ELEM,PAYM,                              ,Cdtr                                              ,                              ,                              
/SEPA_CT_UNES                 ,N_4799051040,,                                                                                                                                    ,N_7493536070,/SEPA_CT_UNES,ATOM,PAYM,TEXT                          ,REFERENCE2                                        ,DMEE_PAYD                     ,                              
/SEPA_CT_UNES                 ,N_4864286940,,-                                                                                                                                   ,N_3212123950,/SEPA_CT_UNES,ATOM,PAYM,                              ,-                                                 ,                              ,                              
/SEPA_CT_UNES                 ,N_4880705930,,                                                                                                                                    ,ROOT        ,/SEPA_CT_UNES,ELEM,PAYM,                              ,Document                                          ,                              ,                              
/SEPA_CT_UNES                 ,N_4907943150,,                                                                                                                                    ,N_3212123950,/SEPA_CT_UNES,ATOM,PAYM,AUSFD                         ,DD                                                ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_4946758140,,                                                                                                                                    ,N_9926185740,/SEPA_CT_UNES,ELEM,PAYM,ORT1Z                         ,AdrLine                                           ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_5068303050,,                                                                                                                                    ,N_0179888070,/SEPA_CT_UNES,ATOM,PAYM,TIMLO                         ,Time                                              ,SYST                          ,                              
/SEPA_CT_UNES                 ,N_5298508320,,-                                                                                                                                   ,N_3212123950,/SEPA_CT_UNES,ATOM,PAYM,                              ,-                                                 ,                              ,                              
/SEPA_CT_UNES                 ,N_5323647340,,                                                                                                                                    ,N_7251154690,/SEPA_CT_UNES,TECH,PAYM,                              ,PmtTrailer                                        ,                              ,DMEE_EXIT_SEPA_41             
/SEPA_CT_UNES                 ,N_5566338990,,                                                                                                                                    ,N_9961450310,/SEPA_CT_UNES,ELEM,PAYM,RENUM                         ,MsgId                                             ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_5757152900,,                                                                                                                                    ,N_7192103500,/SEPA_CT_UNES,ELEM,PAYM,                              ,SvcLvl                                            ,                              ,                              
/SEPA_CT_UNES                 ,N_5832864770,,                                                                                                                                    ,N_1769383930,/SEPA_CT_UNES,ELEM,PAYM,UBWAE                         ,Ccy                                               ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_5958302950,,                                                                                                                                    ,N_1761132200,/SEPA_CT_UNES,ATOM,PAYM,AUST1                         ,AUST1                                             ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_6010401760,,                                                                                                                                    ,N_1348246140,/SEPA_CT_UNES,ATOM,PAYM,XSI                           ,Para                                              ,FPM_SEPA                      ,                              
/SEPA_CT_UNES                 ,N_6025412550,,                                                                                                                                    ,N_9145273120,/SEPA_CT_UNES,ELEM,PAYM,                              ,PmtId                                             ,                              ,                              
/SEPA_CT_UNES                 ,N_6048457700,,                                                                                                                                    ,N_4880705930,/SEPA_CT_UNES,XMAT,PAYM,SCHEMALOCATION                ,xsi:schemaLocation                                ,FPM_SEPA                      ,                              
/SEPA_CT_UNES                 ,N_6054982000,,                                                                                                                                    ,N_4754354180,/SEPA_CT_UNES,ELEM,PAYM,ZPFST                         ,AdrLine                                           ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_6289915400,,                                                                                                                                    ,N_6025412550,/SEPA_CT_UNES,ELEM,PAYM,                              ,InstrId                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_6307338780,,NOTPROVIDED                                                                                                                         ,N_2590134600,/SEPA_CT_UNES,ATOM,PAYM,                              ,NOTPROVIDED                                       ,                              ,                              
/SEPA_CT_UNES                 ,N_6343458710,,                                                                                                                                    ,N_4754354180,/SEPA_CT_UNES,ELEM,PAYM,ZPLOR                         ,AdrLine                                           ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_6389156500,,                                                                                                                                    ,N_4880705930,/SEPA_CT_UNES,XMAT,PAYM,                              ,xmlns                                             ,                              ,                              
/SEPA_CT_UNES                 ,N_6621347550,,urn:iso:std:iso:20022:tech:xsd:pain.001.001.03                                                                                      ,N_6389156500,/SEPA_CT_UNES,ATOM,PAYM,                              ,ISO                                               ,                              ,                              
/SEPA_CT_UNES                 ,N_6647036830,,                                                                                                                                    ,N_0179888070,/SEPA_CT_UNES,ATOM,PAYM,DATLO                         ,YYYY                                              ,SYST                          ,                              
