TREE_ID,MP_CONST,NODE_TYPE,MP_SC_FLD,NODE_ID,TECH_NAME,_tree_id,PARENT_ID,TREE_TYPE,MP_SC_TAB
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3779702190,UltmtDbtr                                         ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3825417170,StrtNm                                            ,/CITI/XML/UNESCO/DC_V3_01,N_2368849090,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3831274320,Document                                          ,/CITI/XML/UNESCO/DC_V3_01,ROOT        ,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3849399420,Issr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_0293335810,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3881561590,SchmeNm                                           ,/CITI/XML/UNESCO/DC_V3_01,N_9932637660,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3892358920,DtAndPlcOfBirth                                   ,/CITI/XML/UNESCO/DC_V3_01,N_0962450670,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3895860980,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3937197650,ChqNb                                             ,/CITI/XML/UNESCO/DC_V3_01,N_6390687550,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_3937358440,BICOrBEI                                          ,/CITI/XML/UNESCO/DC_V3_01,N_0995782040,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,ZPFOR                         ,N_3956284650,POBoxCity_HR                                      ,/CITI/XML/UNESCO/DC_V3_01,N_3708282600,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALA25                        ,N_3969405430,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_5045897830,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,AUST1                         ,N_3971170950,AUST1                                             ,/CITI/XML/UNESCO/DC_V3_01,N_7154306150,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB01                        ,N_3982845100,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_7801577740,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4008240200,Inf                                               ,/CITI/XML/UNESCO/DC_V3_01,N_3627217200,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4017073730,Purp                                              ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,AUSTO                         ,N_4028477000,AdrLine                                           ,/CITI/XML/UNESCO/DC_V3_01,N_4078824850,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,BNKL2_EXT                     ,N_4048196440,MmbId                                             ,/CITI/XML/UNESCO/DC_V3_01,N_9815070340,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB15                        ,N_4064652230,TtlAmt                                            ,/CITI/XML/UNESCO/DC_V3_01,N_0984892090,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4078824850,PstlAdr                                           ,/CITI/XML/UNESCO/DC_V3_01,N_6528960200,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4090228550,InstrForCdtrAgt                                   ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,CDTR_AGT_CLRSYSMMBID          ,N_4115260660,HK_URGP_HKD_ID                                    ,/CITI/XML/UNESCO/DC_V3_01,N_5629362090,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4122233110,PstCd                                             ,/CITI/XML/UNESCO/DC_V3_01,N_1496761000,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4150303900,CdtrAcct                                          ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,STCD1                         ,N_4179578910,Id                                                ,/CITI/XML/UNESCO/DC_V3_01,N_5865205270,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4187255010,Tp                                                ,/CITI/XML/UNESCO/DC_V3_01,N_4150303900,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,TEXT                          ,N_4193798890,Ustrd                                             ,/CITI/XML/UNESCO/DC_V3_01,N_9054091070,PAYM,DMEE_PAYD                     
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB13                        ,N_4222601760,Rate                                              ,/CITI/XML/UNESCO/DC_V3_01,N_0984892090,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_4245757250,CityPc                                            ,/CITI/XML/UNESCO/DC_V3_01,N_4122233110,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4249821970,PstlAdr                                           ,/CITI/XML/UNESCO/DC_V3_01,N_3108242270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4255403060,AdrLine                                           ,/CITI/XML/UNESCO/DC_V3_01,N_5135503450,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4271593210,NbOfTxs                                           ,/CITI/XML/UNESCO/DC_V3_01,N_9996937180,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4283857570,Id                                                ,/CITI/XML/UNESCO/DC_V3_01,N_6528960200,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4306264090,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4323493040,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4399611800,ClrSysMmbId                                       ,/CITI/XML/UNESCO/DC_V3_01,N_3108242270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_4400115480,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_1061862380,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4400978440,BldgNb                                            ,/CITI/XML/UNESCO/DC_V3_01,N_2368849090,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,SVCLVL_PRTY                   ,N_4411870160,Prtry                                             ,/CITI/XML/UNESCO/DC_V3_01,N_0470322080,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4426683110,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB18                        ,N_4429427260,TaxblBaseAmt                                      ,/CITI/XML/UNESCO/DC_V3_01,N_9424460360,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4430054080,Authrty                                           ,/CITI/XML/UNESCO/DC_V3_01,N_0396318870,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4446569460,FrmsCd                                            ,/CITI/XML/UNESCO/DC_V3_01,N_4306264090,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4452938910,Othr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_3108242270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,BNKN1                         ,N_4508385180,Id                                                ,/CITI/XML/UNESCO/DC_V3_01,N_8534412700,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,ORT1Z                         ,N_4514729990,TwnNm                                             ,/CITI/XML/UNESCO/DC_V3_01,N_1531351640,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,ZBSTR                         ,N_4517277200,StrtNm                                            ,/CITI/XML/UNESCO/DC_V3_01,N_5135503450,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,SLEV,ELEM,                              ,N_4524518900,ChrgBr                                            ,/CITI/XML/UNESCO/DC_V3_01,N_9996937180,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4579473430,RltdRmtInf                                        ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4592291290,BICOrBEI                                          ,/CITI/XML/UNESCO/DC_V3_01,N_7897787810,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4600960730,PstlAdr                                           ,/CITI/XML/UNESCO/DC_V3_01,N_8838338720,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,AUST2                         ,N_4601667360,AdrLine                                           ,/CITI/XML/UNESCO/DC_V3_01,N_1531351640,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,DBIT,ATOM,                              ,N_4617465460,DBIT                                              ,/CITI/XML/UNESCO/DC_V3_01,N_5114717270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_4629847880,CtrySubDvsn                                       ,/CITI/XML/UNESCO/DC_V3_01,N_3301357040,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,PO BOX,ATOM,                              ,N_4639134410,POBOX                                             ,/CITI/XML/UNESCO/DC_V3_01,N_3511983780,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,CitiERPiX,ELEM,                              ,N_4642819490,Nm                                                ,/CITI/XML/UNESCO/DC_V3_01,N_8977201580,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4646243930,ChrgsAcct                                         ,/CITI/XML/UNESCO/DC_V3_01,N_9996937180,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4653789490,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,CUST,ELEM,                              ,N_4679573810,Cd                                                ,/CITI/XML/UNESCO/DC_V3_01,N_8207525600,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALA09                        ,N_4686278170,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_4653789490,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4799157720,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4841430570,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,CHECK                         ,N_4874377520,Check                                             ,/CITI/XML/UNESCO/DC_V3_01,N_3937197650,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_4883685060,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_4429427260,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4889343760,DbtrAcct                                          ,/CITI/XML/UNESCO/DC_V3_01,N_9996937180,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_4889482630,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_8568444600,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4902314110,Amt                                               ,/CITI/XML/UNESCO/DC_V3_01,N_6140636800,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4916068790,Nm                                                ,/CITI/XML/UNESCO/DC_V3_01,N_0081253400,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4935130290,Othr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_0280208270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4954743920,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_4970707120,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5004353120,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5035184210,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5045897830,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5055793890,CtctDtls                                          ,/CITI/XML/UNESCO/DC_V3_01,N_3576433990,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,DOC1R                         ,N_5064950280,DOC1R                                             ,/CITI/XML/UNESCO/DC_V3_01,N_3331615040,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,-,ATOM,                              ,N_5070662220,-                                                 ,/CITI/XML/UNESCO/DC_V3_01,N_9980466550,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5101952720,BrnchId                                           ,/CITI/XML/UNESCO/DC_V3_01,N_8566040750,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5114717270,CdtDbtInd                                         ,/CITI/XML/UNESCO/DC_V3_01,N_0428349720,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5135503450,PstlAdr                                           ,/CITI/XML/UNESCO/DC_V3_01,N_0280208270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,DATLO                         ,N_5151619830,YYYY                                              ,/CITI/XML/UNESCO/DC_V3_01,N_9936481660,PAYM,SYST                          
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_5159770980,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_4064652230,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,-,ATOM,                              ,N_5165035400,-                                                 ,/CITI/XML/UNESCO/DC_V3_01,N_9936481660,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5182965680,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALC04                        ,N_5190746830,Ustrd                                             ,/CITI/XML/UNESCO/DC_V3_01,N_9054091070,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5206936540,Prd                                               ,/CITI/XML/UNESCO/DC_V3_01,N_2171367540,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5209031690,CdOrPrtry                                         ,/CITI/XML/UNESCO/DC_V3_01,N_3003004550,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,AUST3                         ,N_5237891110,AdrLine                                           ,/CITI/XML/UNESCO/DC_V3_01,N_1531351640,PAYM,FPAYHX                        
