fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
221LEB4000,108,,PR00042918,221LEB4000.2,Activity N°2:  Outreach and Communicatio,HARD,0.0,0.0,,BOTH-EXHAUSTED,2748,16,1
221LEB4000,108,,PR00042919,221LEB4000.3,Activity N°3: Transfer of grants to sele,HARD,0.0,0.0,,BOTH-EXHAUSTED,2749,22,1
221LEB4000,108,,PR00042920,221LEB4000.4,Activity N°4: Operational Costs,HARD,0.0,0.0,,BOTH-EXHAUSTED,2750,20,1
221LEB5000,105,,PR00053841,221LEB5000,Top WBS: Investing in the capa,HARD,106414.27,-3176.74,BEI/13,FM-EXHAUSTED,1140,2,1
221LEB5000,105,,PR00053846,221LEB5000.1.1.1.2,1.1 Supplies,HARD,0.72,460.56,BEI/50,ALIGNED,7422,9,1
221LEB5000,105,,PR00053848,221LEB5000.1.1.1.4,1.1 Services,HARD,22.04,9347.39,BEI/11,ALIGNED,7694,9,1
221LEB5000,105,,PR00053849,221LEB5000.1.1.1.5,1.1 Travel,HARD,243.93,-3176.74,BEI/13,FM-EXHAUSTED,1141,7,1
221LEB5000,105,,PR00053853,221LEB5000.1.2.1.2,1.2 Supplies,HARD,0.1,460.56,BEI/50,ALIGNED,7330,10,1
221LEB5000,105,,PR00053855,221LEB5000.1.2.1.4,1.2 Services,HARD,0.45,48488.3,BEI/20,ALIGNED,7386,11,1
221LEB5000,105,,PR00053856,221LEB5000.1.2.1.5,1.2 Travel,HARD,22.99,-3176.74,BEI/13,FM-EXHAUSTED,1142,13,1
221LEB5000,105,,PR00053860,221LEB5000.1.3.1.2,1.3 Supplies,HARD,0.0,460.56,BEI/50,PS-EXHAUSTED,2751,5,1
221LEB5000,105,,PR00053862,221LEB5000.1.3.1.4,1.3 Services,HARD,34.0,48488.3,BEI/20,ALIGNED,7800,2,1
221LEB5000,105,,PR00053863,221LEB5000.1.3.1.5,1.3 Travel,HARD,99.53,-3176.74,BEI/13,FM-EXHAUSTED,1143,19,1
221LEB5000,105,,PR00053867,221LEB5000.1.4.1.2,1.4 Supplies,HARD,11.3,460.56,BEI/50,ALIGNED,7612,6,1
221LEB5000,105,,PR00053869,221LEB5000.1.4.1.4,1.4 Services,HARD,15101.9,9347.39,BEI/11,ALIGNED,10750,6,1
221LEB5000,105,,PR00053870,221LEB5000.1.4.1.5,1.4 Travel,HARD,15.65,-3176.74,BEI/13,FM-EXHAUSTED,1144,11,1
221LEB5000,105,,PR00053873,221LEB5000.2.1.1,Personnel,HARD,1483.37,-3176.74,BEI/13,FM-EXHAUSTED,1145,17,1
221LEB5000,105,,PR00053874,221LEB5000.2.1.2,Supplies,HARD,0.29,460.56,BEI/50,ALIGNED,7367,8,1
221LEB5000,105,,PR00053876,221LEB5000.2.1.4,Services,HARD,4550.0,9347.39,BEI/11,ALIGNED,10331,2,1
221LEB5001,105,,PR00059876,221LEB5001,Top WBS: Youth in Action: Strengthening,HARD,308147.84,159999.84,BEI/REVENUE,ALIGNED,11462,1,1
221LIR1002,108,,PR00056713,221LIR1002,Top WBS: RPL System CapED Liberia,HARD,56685.21,-406.0,DAK/10',FM-EXHAUSTED,1620,1,1
221LIR1002,108,,PR00056714,221LIR1002.1,Output 1.1 The capacities of r,HARD,127.51,-406.0,DAK/10',FM-EXHAUSTED,1621,23,1
221MOZ4000,108,,PR00042746,221MOZ4000,Multi-Dimensional Resilient Recovery of,HARD,0.0,0.0,,BOTH-EXHAUSTED,2752,2,1
221MOZ4000,108,,PR00042930,221MOZ4000.1.1,1. Technical personnel (Project Assista,HARD,0.0,0.0,,BOTH-EXHAUSTED,2753,12,1
221MOZ4000,108,,PR00042934,221MOZ4000.1.5,B. Consultancy/Services (for executive,HARD,0.0,0.0,,BOTH-EXHAUSTED,2754,5,1
221MOZ4000,108,,PR00042935,221MOZ4000.1.6,B2. Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2755,7,1
221MOZ4000,108,,PR00042940,221MOZ4000.2.3,C1 Supplies/Commodities,HARD,0.0,0.0,,BOTH-EXHAUSTED,2756,6,1
221MOZ4000,108,,PR00042942,221MOZ4000.2.5,B Consultancy/Services (for executive,HARD,0.0,0.0,,BOTH-EXHAUSTED,2757,12,1
221MOZ4000,108,,PR00042943,221MOZ4000.2.6,B2 Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2758,3,1
221MOZ4000,108,,PR00042947,221MOZ4000.3.2,A. Administrative Assistant,HARD,0.0,0.0,,BOTH-EXHAUSTED,2759,29,1
221MOZ4000,108,,PR00042950,221MOZ4000.3.5,B1 Consultancy/Services (for executive,HARD,0.0,0.0,,BOTH-EXHAUSTED,2760,6,1
221MOZ4000,108,,PR00042951,221MOZ4000.3.6,B. Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2761,7,1
221MOZ4000,108,,PR00042954,221MOZ4000.4.1,A1. Technical personnel (National Expert,HARD,0.0,0.0,,BOTH-EXHAUSTED,2762,3,1
221MOZ4000,108,,PR00042957,221MOZ4000.4.4,B2. Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2763,2,1
221MOZ4000,108,,PR00042962,221MOZ4000.5.1,A1. Technical personnel  (Cost Recovery),HARD,0.0,0.0,,BOTH-EXHAUSTED,2764,77,1
221MOZ4000,108,,PR00042964,221MOZ4000.5.3,C1_ Supplies/Commodities,HARD,0.0,0.0,,BOTH-EXHAUSTED,2765,2,1
221MOZ4000,108,,PR00042966,221MOZ4000.5.5,B1. Consultancy/Services-for executive,HARD,0.0,0.0,,BOTH-EXHAUSTED,2766,4,1
221MOZ4000,108,,PR00042967,221MOZ4000.5.6,2 Construction process,HARD,0.0,0.0,,BOTH-EXHAUSTED,2767,7,1
221MOZ4000,108,,PR00042970,221MOZ4000.6.1,A1.. Technical personnel (Project Assist,HARD,0.0,0.0,,BOTH-EXHAUSTED,2768,59,1
221MOZ4000,108,,PR00042971,221MOZ4000.6.2,A Administrative Assistant,HARD,0.0,0.0,,BOTH-EXHAUSTED,2769,24,1
