wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210415041,001,275,1068.55,14610978.92,0.01,4
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210422031,001,275,9.01,14610978.92,0.0,1
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210423011,001,275,15921.45,14610978.92,0.11,12
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210425031,001,275,1806.24,14610978.92,0.01,7
PR00000106,1,Major Programme 1 (Education),2210432021,001,592,733.54,51817355.99,0.0,4
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210432021,001,275,3238.63,14610978.92,0.02,9
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210441011,001,275,1648.73,14610978.92,0.01,3
PR00000106,1,Major Programme 1 (Education),2210442051,001,592,19.07,51817355.99,0.0,4
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210442051,001,275,8881.08,14610978.92,0.06,6
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210443011,001,275,2216.92,14610978.92,0.02,3
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210444011,001,275,310.0,14610978.92,0.0,1
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210444031,001,275,4.24,14610978.92,0.0,2
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210445021,001,275,1424.71,14610978.92,0.01,4
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210451011,001,275,1403.69,14610978.92,0.01,9
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210451021,001,275,5107.84,14610978.92,0.03,6
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210452011,001,275,60.2,14610978.92,0.0,5
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210452031,001,275,8.17,14610978.92,0.0,3
PR00000106,1,Major Programme 1 (Education),2210452061,001,592,727.67,51817355.99,0.0,3
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210452061,001,275,1491.5,14610978.92,0.01,6
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210454011,001,275,8.58,14610978.92,0.0,2
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210454041,001,275,6877.91,14610978.92,0.05,3
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210455031,001,275,2434.46,14610978.92,0.02,3
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210461022,001,275,4667.49,14610978.92,0.03,7
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210463011,001,275,232.43,14610978.92,0.0,2
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210464011,001,275,801.04,14610978.92,0.01,11
PR00000107,2,Major Programme 2 (Natural Sciences),2210471011,003,591,1998.09,25643916.0,0.01,5
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210471021,003,275,35997.11,14610978.92,0.25,19
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210471031,013,275,28515.88,14610978.92,0.2,5
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210472011,002,275,7737.79,14610978.92,0.05,12
