wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00027627,680REV9001,Management Cost PFF technical account,191OSD2042,104,1211,22534.25,48376526.57,0.05,24
PR00027627,680REV9001,Management Cost PFF technical account,191OSD2043,104,1211,4393.29,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2041,104,1211,2952.48,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2042,104,1211,19253.61,48376526.57,0.04,25
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2043,104,1211,1788.29,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2041,104,1211,11.38,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2042,104,1211,44751.19,48376526.57,0.09,25
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2043,104,1211,5350.86,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,193OPS2041,104,1211,735.08,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,193OPS2042,104,1211,20282.74,48376526.57,0.04,22
PR00027627,680REV9001,Management Cost PFF technical account,193OPS2043,104,1211,133.7,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,193UND2041,104,1211,18316.01,48376526.57,0.04,9
PR00027627,680REV9001,Management Cost PFF technical account,193UND2042,104,1211,147133.72,48376526.57,0.3,25
PR00027627,680REV9001,Management Cost PFF technical account,193UND2043,104,1211,5012.22,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,196DIP4041,106,1211,1739.56,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,196DIP4042,104,1211,12117.4,48376526.57,0.03,17
PR00027627,680REV9001,Management Cost PFF technical account,196EAR4040,106,1211,25732.05,48376526.57,0.05,4
PR00027627,680REV9001,Management Cost PFF technical account,196EAR4041,106,1211,33621.56,48376526.57,0.07,11
PR00027627,680REV9001,Management Cost PFF technical account,196EAR4042,104,1211,336676.78,48376526.57,0.7,26
PR00027627,680REV9001,Management Cost PFF technical account,196EAR4043,104,1211,17792.8,48376526.57,0.04,2
PR00027627,680REV9001,Management Cost PFF technical account,196EVA4042,104,1211,58216.64,48376526.57,0.12,13
PR00027627,680REV9001,Management Cost PFF technical account,196PER4041,106,1211,1872.69,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,196PER4042,104,1211,6365.28,48376526.57,0.01,8
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4002,106,1211,853.9,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4041,104,1211,239.32,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4042,104,1211,809.75,48376526.57,0.0,3
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4141,106,1211,92.66,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4142,104,1211,388.17,48376526.57,0.0,3
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4150,106,1211,119.7,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4152,104,1211,3598.47,48376526.57,0.01,7
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4241,106,1211,2635.81,48376526.57,0.01,5
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4242,104,1211,3074.77,48376526.57,0.01,7
PR00027627,680REV9001,Management Cost PFF technical account,199GLO4250,104,1211,2433.93,48376526.57,0.01,5
