ATOM_HANDL,BROTHER_ID,CK_EXIT_FUNC,CRLF_ONLY,CV_RULE,CV_SOURCE_FORMAT,DATA_TYPE,EX_STATUS,FIRSTCHILD_ID,INT_DATA_TYPE,LENGTH,LENGTH_IN_BYTES,LEV,MP_CONST,MP_CUKY_FLD,MP_CUKY_TAB,MP_EXIT_FUNC,MP_IF_TP,MP_OFFSET,MP_SC_FLD,MP_SC_NODE,MP_SC_NODE_ATTR,MP_SC_OFFSET,MP_SC_REF_NAME,MP_SC_TAB,MP_SELECTION,MSG_CLASS_EXIT,MSG_CLASS_SCREEN,MSG_NUM_EXIT,MSG_NUM_SCREEN,NODE_ID,NODE_TYPE,PARENT_ID,REACT_LEV_EXIT,REACT_LEV_SCREEN,REF_NAME,SEGM_CR,SEGM_END,SEGM_LF,SHIFTED_OUTPUT,TAB_KEYFLD,TDFORM_NAME,TECH_NAME,TRAILER,TREE_ID,TREE_TYPE,VERSION,X_COMPLTAB,_tree_id
  ,N_5323647340,                              , ,          ,          ,C, ,N_9198189290,,0000,,002,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1489713350,ELEM,N_7251154690, ,,            , , , , ,,                    ,PmtInf                                            , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_9119400740,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1600557490,ELEM,N_8123082880, ,,            , , , , ,,                    ,FinInstnId                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_0639541490,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1725392490,ELEM,N_1114124980, ,,            , , , , ,,                    ,Id                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,N_5958302950,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_1761132200,ELEM,N_4457909410, ,,            , , , , ,,                    ,Nm                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_7631742550,                              , ,          ,          ,C, ,N_1307819380,,0000,,002,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1769383930,ELEM,N_1489713350, ,,            , , , , ,,                    ,DbtrAcct                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_0875432660,                              , ,          ,          ,C, ,N_3963698540,,0000,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1781756050,ELEM,N_9145273120, ,,            , , , , ,,                    ,UltmtCdtr                                         , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_2063037070,                              , ,CL   R0   ,          ,N, ,            ,,0008,,001,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,4,                    ,                    ,   ,   ,N_1863004460,ELEM,N_9961450310, ,,            , , , , ,,                    ,NbOfTxs                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_4457909410,                              , ,AL.2      ,          ,P, ,            ,,0018,,000,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,4,                    ,                    ,   ,   ,N_2063037070,ELEM,N_9961450310, ,,            , , , , ,,                    ,CtrlSum                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0000,,000,SEPA                                                                                                                                ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_2147266940,ELEM,N_5757152900, ,,            , , , , ,,                    ,Cd                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_0843213020,                              , ,CL        ,          ,C, ,            ,,0001,,000,-                                                                                                                                   ,                              ,                              ,                              , ,007,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_2225536670,ATOM,N_0179888070, ,,            , , , , ,,                    ,-                                                 , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
