NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_1307819380,N_1769383930,Id,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_7551683230,0000,000,000,,,8,C,,,,,,,
N_1348246140,N_4880705930,xmlns:xsi,XMAT,/SEPA_CT_ICTP_ISO,000,000,N_8313338750,0000,000,000,,,6,C,,,,,,,N_6048457700
N_1374946860,N_3212123950,MM,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0002,005,004,CL,,2,C,FPAYH,AUSFD,,,,1,N_5298508320
N_1420837010,N_0179888070,DD,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0002,008,006,CL,,2,C,SYST,DATLO,,,,5,N_3751282570
N_1489713350,N_4880705930,PmtInf,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_9198189290,0000,000,000,,,8,C,,,,,,,N_5323647340
N_1503965350,N_4457909410,Id,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_8802306100,0000,000,000,,,8,C,,,,,,,
N_1659664320,N_4754354180,PstCd,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,CL RP    X,,2,C,FPAYH,ZPSTL,,,,1,N_7068451440
N_1725392490,N_1114124980,Id,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_0639541490,0000,000,000,,,8,C,,,,,,,
N_1761132200,N_4457909410,Nm,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_5958302950,0000,000,000,,,6,C,,,,,,,N_1503965350
N_1769383930,N_1489713350,DbtrAcct,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_1307819380,0000,000,000,,,8,C,,,,,,,N_7631742550
N_1829691070,N_4001913450,Id,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,DTKID,,,,1,N_2776954720
N_1901988830,N_5577211370,Ccy,XMAT,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,WAERS,,,,1,
N_2124972750,N_0450028060,Cd,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0003,000,000,,,1,C,,,,SNR,,,N_5577211370
N_2225536670,N_0179888070,-,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,007,000,CL,,1,C,,,,-,,,N_0843213020
N_2257360070,N_6289915400,DOC1R(rest),ATOM,/SEPA_CT_ICTP_ISO,000,000,,0020,003,004,,,2,C,FPAYH,DOC1R,,,,1,
N_2378752350,N_7493536070,REFERENCE4,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,
N_2411404380,N_9481469990,Nm,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0040,000,000,CL RP    X,,2,C,FPAYHX,NAMEZ,,,,1,N_9926185740
N_2411930340,N_9145273120,PmtRef,TECH,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,5,C,,,DMEE_EXIT_SEPA_31,,,,
N_2470231520,N_7493536070,PAYD3,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0012,000,000,CL RP    X,3,2,C,DMEE_PAYD,TEXT,,,,3,N_9051497000
N_2590134600,N_6025412550,EndToEndId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_8648256460,0000,000,000,,,6,C,,,,,,,
N_2776954720,N_4001913450,Issr,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,1,C,,,,CBI,,,
